Page,Sub-Category,Photo Link,Description,Price,URL
1,deals,https://almeera.online/deals2-1/heinz-creamy-classic-mayonnaise-940g,HEINZ MAYO 940GM@20%OFF,QAR15.75,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/pifpaf-powerplus-400ml-x-2,PIFPAF PWRPLUS CIK2X400ML20OFF,QAR20,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/johnson-s-baby-shampoo-750ml-x-2,JOHNSONS BABY SHAMPOO 750MLX2@25%OFF,QAR40,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/pepsi-cola-150ml-x-15-assorted-,"Soft Drinks in Can 150ml x 15, Mixed flavors",QAR19.25,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/colgate-max-toothpaste-75ml-x-4-assorted-,COLGATE MAX FRESH CLEAN MINT 75MLX4@SP,QAR15,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/colgate-max-toothpaste-75ml-x-4-assorted--1,COLGATE MAX FRESH COOL MINT 75MLX4@SP,QAR15,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/colgate-max-toothpaste-75ml-x-4-assorted--2,COLGATE TOOTHPASTE MAX FRESH SPICY 75MLX4 @SP,QAR15,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/gillette-fp-simply-venus-3-8-4,GILLETTE FP Simply Venus 3 8+4Free,QAR17,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/anrgayzr-aks-foks-msbah-kshaf-aks-af-atsh21,ENERGIZER X-FOCUS TORCH XFH21,QAR21,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/storck-nimm-2-soft-116g,STORCK Nimm 2 Soft 116g,QAR5.25,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/aoral-by-ghsol-alfm-balnaanaaa-oalaanayة-balmyna-500ml,Oral-B fresh mint gum & enamel care mouthwash 500ml,QAR20,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/rio-mare-salatuna-mexico-recipe-3pcs-80g,RIO MARE Salatuna Mexico Recipe 160g x 2,QAR17.25,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/seabass-small,Seabass (per kg),QAR36.75,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/beef-sausage-local,Beef Sausage @Local (per kg),QAR39.75,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/al-wadi-labneh-lebanon,AL WADI LABNEH LEBANON TASTE LOCAL,QAR18.75,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/cheese-kashkaval-turkey,CHEESE KASHKAVAL? TURKEY,QAR23.75,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/siniora-mortadella-beef-plain-jordan-kg,SINIORA Mortadella Beef Plain Jordan (per kg),QAR19.75,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/siniora-mortadella-beef-with-pepper-jordan-kg,SINIORA Mortadella Beef with Pepper Jordan (per kg),QAR19.75,https://almeera.online/deals2-1/
1,deals,https://almeera.online/deals2-1/siniora-mortadella-beef-with-olives-jordan-kg,SINIORA Mortadella Beef with Olives Jordan (per kg),QAR19.75,https://almeera.online/deals2-1/
2,deals,https://almeera.online/deals2-1/gardelli-gouda-cheese-herbs-holland,GARDELI GOUDA HERBS  HOLLAND,QAR40,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/mix-pickled-lebanon,MIX PICKLED  LEBANON,QAR7.50,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/gardelli-gouda-cheese-cumin-holland,GARDELI GOUDA CUMIN HOLLAND,QAR40,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/grand-or-gouda-cheese-young-holland,GRAND'OR GOUDA YOUNG HOLLAND,QAR29.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/grand-or-cheddar-cheese-red-germany,GRAND'OR CHEDDAR CHEESE RED GERMANY,QAR34.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/grand-or-cheddar-white-germany,GRAND'OR Cheddar White Germany (per kg),QAR34.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/gardelli-cheese-with-pepper-holland,GARDELI CHEESE WITH PEPPER HOLLAND,QAR40,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/zyton-asod-lbnany,OLIVES  BLACK LEBANON,QAR16.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/volys-star-turkey-breast-belgium-kg,VOLYS TURKEY BRST 100% 199 1KG BELGIUM,QAR99.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/green-olives-lebanon,OLIVE  GREEN  LEBANON,QAR16.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/falez-multi-functional-double-grill-34cm-pink-f17631,FALEZ Multi-Functional Double Grill 34cm Pink,QAR77,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/hi-geen-handbody-wash-500ml-3p,HI GEEN Hand & Body Wash 500ml x 3,QAR15,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/dettol-mpc-red-rose-3-ltr,DETTOL MPC RED ROSE 3 LTR,QAR30,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/storck-werthers-original-soft-chocolate-caramel-pack-100g,Storck Werthers Original Soft Chocolate Caramel Pack 100g,QAR6.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/strock-merci-assorted-european-chocolate-gift-pack-400g,STROCK MERCI Assorted European Chocolate Gift Pack 400g,QAR32.50,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/merci-finest-slctn-choco-675gm,MERCI FINEST SLCTN CHOCO 675GM,QAR53.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/stork-oyrthrz-aorygynal-hloى-alkramyl-70gh,Storck Werther’s Original Cream Candy 70g,QAR6.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/dettol-m-purpose-clnr-aqua3l,DETTOL M/PURPOSE CLNR AQUA3L,QAR30,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/myrsy-afdl-tshkylة-shokolatة-mtnoaaة-250-gram,MERCI HELLE VIELF BLUE 250G,QAR18,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/dettol-antibacterial-floor-cleaner-pine-3l,DETTOL Antibacterial Floor Cleaner Pine 3L,QAR30,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/stork-nym-2-hloى-balfoakة-50gh,Storck Nimm 2 Candy 50g,QAR2.25,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/s-pellgrno-sparkling-wtr1000ml-x-6,SAN PELLEGRINO Sparkling Water 1L x 6,QAR30,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/al-meera-aluminum-25sq-x-25-and-cling-film,Al Meera Aluminum  25sq x 25 & Cling Film,QAR12.50,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/jif-ultra-fast-cleaner-500ml-x-2-assorted-,JIF ULTRFST BATHROOM CLNR2X500ML SP,QAR22,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/beef-makanek-local,Beef Makanek @Local (per kg),QAR39.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/beef-burger-local,Beef Burger @Local (per kg),QAR39.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/nart-kashkaval-pizza-cheese-1kg,NART Kashkaval Pizza Cheese 1kg,QAR22,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/philadelphia-cream-cheese-280g-x-2,PHILADELPHIA CREAM CHEESE 280GX2,QAR20,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/philadelphia-lite-cream-cheese-280g-x-2,PHILADELPHIA LITE CREAM CHEESE 280GX2,QAR20,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/sadia-chicken-nuggets-270g-x-3,SADIA CKN NUGGETS 3X270GM PO,QAR16.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/bambi-baby-wet-wipes-protective-cream-56-s-2-1-,SANITA BAMBI BABY WET WIPES AQUA CLEAN 56SX3,QAR19.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/bambi-baby-wet-wipes-pure-and-sensitive-56s-2-1-,SANITA BAMBI BABY WET WIPES PURE AND SENSITIVE 56SX3,QAR19.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/sanita-bambi-wipes-fresh-and-clean-56-s-2-1-,SANITA BAMBI BABY WET WIPES FRESH AND CLEAN 56SX3,QAR19.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/bonera-frypan-brown-3pc-set,Bonera Frypan Brown (20-24-28cm) 3pc Set,QAR45,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/beef-kofta-local,Beef Kofta @Local (per kg),QAR39.75,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/jif-ultrafast-multi-purpose-cleaner-500ml-x-2,JIF ULTRAFST MLTPRPSCLNR 2X500ML SP,QAR22,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/puck-slice-cheese-regular-400g,PUCK SLICE CHEESE REG 400G P,QAR10,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/puck-slice-cheddar-400g,PUCK SLICE CHEDDAR 400G(P),QAR10,https://almeera.online/deals2-1/?pageId=2
2,deals,https://almeera.online/deals2-1/merci-grosse-vielf-red-250gm,MERCI Finest Selection Chocolate 250g,QAR18,https://almeera.online/deals2-1/?pageId=2
1,deals,https://almeera.online/deals/qbake-original-muffin-family,QBAKE Mini Vanilla Muffins 195g,QAR4.50,https://almeera.online/deals/
1,deals,https://almeera.online/deals/rio-mare-salatuna-corn-2x160g,RIO MARE Salatuna Maize Recipe 160g x 2,QAR17.25,https://almeera.online/deals/
1,deals,https://almeera.online/deals/cif-cream-ammonia-500ml,CIF Cream Ammonia 500ml,QAR5.75,https://almeera.online/deals/
1,deals,https://almeera.online/deals/dettol-m-purpose-clnr-cit-lemon3l,DETTOL Antibacterial Floor Cleaner Lemon 3L,QAR30,https://almeera.online/deals/
1,deals,https://almeera.online/deals/always-thick-cpm-purple-32s-,ALWAYS Clean&Dry Maxi Thick Large Pads With Wings 32's,QAR10,https://almeera.online/deals/
1,deals,https://almeera.online/deals/sadia-frozen-chicken-1100g-1,SADIA Frozen Chicken 1100g,QAR11.75,https://almeera.online/deals/
1,deals,https://almeera.online/deals/siniora-mortadella-beef-papper-500g,SINIORA Mortadella Beef Pepper 500g,QAR10,https://almeera.online/deals/
1,deals,https://almeera.online/deals/potato-pakistan,POTATO PAKISTAN,QAR2.50,https://almeera.online/deals/
1,deals,https://almeera.online/deals/wahl-travel-shaver-3615-1027,WAHL TRAVEL SHAVER 3615-1027,QAR79,https://almeera.online/deals/
1,deals,https://almeera.online/deals/oronamin-c-juice-120ml-x-10,Oronamin C Carbonated Drink 120mlx10,QAR44.25,https://almeera.online/deals/
1,deals,https://almeera.online/deals/rayyan-natural-water-330ml-x-24,RAYYAN Natural Water 330ml x 24,QAR10,https://almeera.online/deals/
1,deals,https://almeera.online/deals/croissant-filled-cheese-90g-x4,CROISSANT FILLED CHEESE  90G X4,QAR12.75,https://almeera.online/deals/
1,deals,https://almeera.online/deals/stainless-steel-cloth-dryer,PREMIUM Stainless Steel Cloth Dryer 155x61x104cm,QAR99,https://almeera.online/deals/
1,deals,https://almeera.online/deals/sanita-aluminium-foil-45-x-85-s,SANITA ALU.FOIL 45X85' @ SP,QAR34.50,https://almeera.online/deals/
1,deals,https://almeera.online/deals/rainbow-organic-milk-1l-x-3-assorted--1,RAINBOW RTD ORGANIC FULL CRM 1LX3 VALUE PCK,QAR20,https://almeera.online/deals/
1,deals,https://almeera.online/deals/al-meera-facial-tissue150x2ply-j--1,AL MEERA Facial Tissue (150x2Ply) 5's,QAR15,https://almeera.online/deals/
1,deals,https://almeera.online/deals/heinz-creamy-classic-mayonnaise-940g,HEINZ MAYO 940GM@20%OFF,QAR15.75,https://almeera.online/deals/
1,deals,https://almeera.online/deals/pifpaf-powerplus-400ml-x-2,PIFPAF PWRPLUS CIK2X400ML20OFF,QAR20,https://almeera.online/deals/
1,deals,https://almeera.online/deals/johnson-s-baby-shampoo-750ml-x-2,JOHNSONS BABY SHAMPOO 750MLX2@25%OFF,QAR40,https://almeera.online/deals/
1,deals,https://almeera.online/deals/pepsi-cola-150ml-x-15-assorted-,"Soft Drinks in Can 150ml x 15, Mixed flavors",QAR19.25,https://almeera.online/deals/
1,deals,https://almeera.online/deals/colgate-max-toothpaste-75ml-x-4-assorted-,COLGATE MAX FRESH CLEAN MINT 75MLX4@SP,QAR15,https://almeera.online/deals/
1,deals,https://almeera.online/deals/colgate-max-toothpaste-75ml-x-4-assorted--1,COLGATE MAX FRESH COOL MINT 75MLX4@SP,QAR15,https://almeera.online/deals/
1,deals,https://almeera.online/deals/colgate-max-toothpaste-75ml-x-4-assorted--2,COLGATE TOOTHPASTE MAX FRESH SPICY 75MLX4 @SP,QAR15,https://almeera.online/deals/
1,deals,https://almeera.online/deals/gillette-fp-simply-venus-3-8-4,GILLETTE FP Simply Venus 3 8+4Free,QAR17,https://almeera.online/deals/
1,deals,https://almeera.online/deals/anrgayzr-aks-foks-msbah-kshaf-aks-af-atsh21,ENERGIZER X-FOCUS TORCH XFH21,QAR21,https://almeera.online/deals/
1,deals,https://almeera.online/deals/aoral-by-ghsol-alfm-balnaanaaa-oalaanayة-balmyna-500ml,Oral-B fresh mint gum & enamel care mouthwash 500ml,QAR20,https://almeera.online/deals/
1,deals,https://almeera.online/deals/rio-mare-salatuna-mexico-recipe-3pcs-80g,RIO MARE Salatuna Mexico Recipe 160g x 2,QAR17.25,https://almeera.online/deals/
1,deals,https://almeera.online/deals/seabass-small,Seabass (per kg),QAR36.75,https://almeera.online/deals/
1,deals,https://almeera.online/deals/beef-sausage-local,Beef Sausage @Local (per kg),QAR39.75,https://almeera.online/deals/
1,deals,https://almeera.online/deals/al-wadi-labneh-lebanon,AL WADI LABNEH LEBANON TASTE LOCAL,QAR18.75,https://almeera.online/deals/
1,deals,https://almeera.online/deals/cheese-kashkaval-turkey,CHEESE KASHKAVAL? TURKEY,QAR23.75,https://almeera.online/deals/
1,deals,https://almeera.online/deals/siniora-mortadella-beef-plain-jordan-kg,SINIORA Mortadella Beef Plain Jordan (per kg),QAR19.75,https://almeera.online/deals/
1,deals,https://almeera.online/deals/siniora-mortadella-beef-with-pepper-jordan-kg,SINIORA Mortadella Beef with Pepper Jordan (per kg),QAR19.75,https://almeera.online/deals/
1,deals,https://almeera.online/deals/siniora-mortadella-beef-with-olives-jordan-kg,SINIORA Mortadella Beef with Olives Jordan (per kg),QAR19.75,https://almeera.online/deals/
1,deals,https://almeera.online/deals/gardelli-gouda-cheese-herbs-holland,GARDELI GOUDA HERBS  HOLLAND,QAR40,https://almeera.online/deals/
1,deals,https://almeera.online/deals/mix-pickled-lebanon,MIX PICKLED  LEBANON,QAR7.50,https://almeera.online/deals/
1,deals,https://almeera.online/deals/gardelli-gouda-cheese-cumin-holland,GARDELI GOUDA CUMIN HOLLAND,QAR40,https://almeera.online/deals/
1,deals,https://almeera.online/deals/grand-or-gouda-cheese-young-holland,GRAND'OR GOUDA YOUNG HOLLAND,QAR29.75,https://almeera.online/deals/
1,deals,https://almeera.online/deals/grand-or-cheddar-cheese-red-germany,GRAND'OR CHEDDAR CHEESE RED GERMANY,QAR34.75,https://almeera.online/deals/
2,deals,https://almeera.online/deals/grand-or-cheddar-white-germany,GRAND'OR Cheddar White Germany (per kg),QAR34.75,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/gardelli-cheese-with-pepper-holland,GARDELI CHEESE WITH PEPPER HOLLAND,QAR40,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/zyton-asod-lbnany,OLIVES  BLACK LEBANON,QAR16.75,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/volys-star-turkey-breast-belgium-kg,VOLYS TURKEY BRST 100% 199 1KG BELGIUM,QAR99.75,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/green-olives-lebanon,OLIVE  GREEN  LEBANON,QAR16.75,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/falez-multi-functional-double-grill-34cm-pink-f17631,FALEZ Multi-Functional Double Grill 34cm Pink,QAR77,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/hi-geen-handbody-wash-500ml-3p,HI GEEN Hand & Body Wash 500ml x 3,QAR15,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/dettol-mpc-red-rose-3-ltr,DETTOL MPC RED ROSE 3 LTR,QAR30,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/dettol-m-purpose-clnr-aqua3l,DETTOL M/PURPOSE CLNR AQUA3L,QAR30,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/dettol-antibacterial-floor-cleaner-pine-3l,DETTOL Antibacterial Floor Cleaner Pine 3L,QAR30,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/s-pellgrno-sparkling-wtr1000ml-x-6,SAN PELLEGRINO Sparkling Water 1L x 6,QAR30,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/al-meera-aluminum-25sq-x-25-and-cling-film,Al Meera Aluminum  25sq x 25 & Cling Film,QAR12.50,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/jif-ultra-fast-cleaner-500ml-x-2-assorted-,JIF ULTRFST BATHROOM CLNR2X500ML SP,QAR22,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/beef-makanek-local,Beef Makanek @Local (per kg),QAR39.75,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/beef-burger-local,Beef Burger @Local (per kg),QAR39.75,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/nart-kashkaval-pizza-cheese-1kg,NART Kashkaval Pizza Cheese 1kg,QAR22,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/philadelphia-cream-cheese-280g-x-2,PHILADELPHIA CREAM CHEESE 280GX2,QAR20,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/philadelphia-lite-cream-cheese-280g-x-2,PHILADELPHIA LITE CREAM CHEESE 280GX2,QAR20,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/sadia-chicken-nuggets-270g-x-3,SADIA CKN NUGGETS 3X270GM PO,QAR16.75,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/bambi-baby-wet-wipes-protective-cream-56-s-2-1-,SANITA BAMBI BABY WET WIPES AQUA CLEAN 56SX3,QAR19.75,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/bambi-baby-wet-wipes-pure-and-sensitive-56s-2-1-,SANITA BAMBI BABY WET WIPES PURE AND SENSITIVE 56SX3,QAR19.75,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/sanita-bambi-wipes-fresh-and-clean-56-s-2-1-,SANITA BAMBI BABY WET WIPES FRESH AND CLEAN 56SX3,QAR19.75,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/bonera-frypan-brown-3pc-set,Bonera Frypan Brown (20-24-28cm) 3pc Set,QAR45,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/beef-kofta-local,Beef Kofta @Local (per kg),QAR39.75,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/jif-ultrafast-multi-purpose-cleaner-500ml-x-2,JIF ULTRAFST MLTPRPSCLNR 2X500ML SP,QAR22,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/puck-slice-cheese-regular-400g,PUCK SLICE CHEESE REG 400G P,QAR10,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/puck-slice-cheddar-400g,PUCK SLICE CHEDDAR 400G(P),QAR10,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/nivea-body-lotion-nourishing-extra-dry-skin-625ml,NIVEA BODY NOURISHING EXTRA DRY SKIN LTN625 ML@20 QR,QAR20,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/whole-salmon-1,Whole Salmon (per kg),QAR49.75,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/baguette-white-200g-x-2,"White Baguette 180g, 2pcs",QAR3,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/hasbro-play-doh-drill-n-fill-dentist-f1259,HASBRO Play Doh Drill N Fill Dentist F1259,QAR99,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/oreo-chocolate-coated-biscuit-246g-x-2,OREO CHOCO COVERED 246GX2@15%OFF P,QAR23.75,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/clikon-stainless-steel-kettle-1-8l-ck5130,CLIKON KETTLE STAINLESS STEEL 1.8L CK5130,QAR25,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/gardeli-cheese-with-pesto-green-holland,GARDELI  CHEESE WITH PESTO GREEN HOLLAND,QAR47.50,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/gardeli-cheese-with-olive-tomato-holland,GARDELI CHEESE WITH OLIVE/TOMATO HOLLAND,QAR40,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/gardeli-cheese-with-pesto-red-holland,GARDELI CHEESE WITH PESTO RED HOLLAND,QAR50,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/lifebouy-body-wash-total10-250ml-x-2,LIFEBUOY BODY WASH TOTAL10 250MLX2 @SP,QAR20,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/philips-ess-led-bulb-9w-e27-warm-white-1-1,PHILIPS ESS LED BULB 9W E27 WARM WHITE 1+1,QAR7,https://almeera.online/deals/?pageId=2
2,deals,https://almeera.online/deals/ola-disposable-instant-bbq-grill-600g,OLA Disposable Instant BBQ Grill 600g,QAR10,https://almeera.online/deals/?pageId=2
1,freshandmore,https://almeera.online/fresh-and-more2-1/potato-pakistan,POTATO PAKISTAN,QAR2.50,https://almeera.online/fresh-and-more2-1/
1,freshandmore,https://almeera.online/fresh-and-more2-1/croissant-filled-cheese-90g-x4,CROISSANT FILLED CHEESE  90G X4,QAR12.75,https://almeera.online/fresh-and-more2-1/
1,freshandmore,https://almeera.online/fresh-and-more2-1/seabass-small,Seabass (per kg),QAR36.75,https://almeera.online/fresh-and-more2-1/
1,freshandmore,https://almeera.online/fresh-and-more2-1/beef-sausage-local,Beef Sausage @Local (per kg),QAR39.75,https://almeera.online/fresh-and-more2-1/
1,freshandmore,https://almeera.online/fresh-and-more2-1/al-wadi-labneh-lebanon,AL WADI LABNEH LEBANON TASTE LOCAL,QAR18.75,https://almeera.online/fresh-and-more2-1/
1,freshandmore,https://almeera.online/fresh-and-more2-1/cheese-kashkaval-turkey,CHEESE KASHKAVAL? TURKEY,QAR23.75,https://almeera.online/fresh-and-more2-1/
1,freshandmore,https://almeera.online/fresh-and-more2-1/siniora-mortadella-beef-plain-jordan-kg,SINIORA Mortadella Beef Plain Jordan (per kg),QAR19.75,https://almeera.online/fresh-and-more2-1/
1,freshandmore,https://almeera.online/fresh-and-more2-1/siniora-mortadella-beef-with-pepper-jordan-kg,SINIORA Mortadella Beef with Pepper Jordan (per kg),QAR19.75,https://almeera.online/fresh-and-more2-1/
1,freshandmore,https://almeera.online/fresh-and-more2-1/siniora-mortadella-beef-with-olives-jordan-kg,SINIORA Mortadella Beef with Olives Jordan (per kg),QAR19.75,https://almeera.online/fresh-and-more2-1/
